Key,EN,CN,FR,EN 적용체크,CN 적용체크,FR 적용체크
레시피 10회 제작 후 활성화 시 -> 제작마다 10% 확률로 2배 생산!,Activate after crafting the recipe 10 times → 10% chance to produce double output on each craft!,制作配方10次后激活 -> 每次制作有10%概率双倍产出！,"Après avoir fabriqué cette recette 10 fois, elle s'active : chaque fabrication a 10 % de chances de produire le double !",,,
목록에서 키트를 클릭,Select a Kit from the List,从列表中点击套件,Cliquez sur un kit dans la liste,O,,
목표 50%,Target: 50%,目标50%,Objectif : 50 %,,,
몬스터,Monster,怪物,Monstres,O,,
물류 출력,Logistics Output,物流输出,Sortie logistique,,,
미달성,Not Reached,未达成,Non atteint,,,
밖에 놓으면 해제,Place Outside to Remove,放置在外则解除,Retirez-le en le plaçant à l'extérieur,,,
방어력,Defense,防御力,Défense,,,
버리기,Discard,丢弃,Jeter,O,,
벨트 연결 필요,Conveyor Connection Required,需要连接传送带,Connexion au convoyeur requise,,,
보상 수령,Claim Reward,领取奖励,Récupérer la récompense,,,
보상 수령 - 코어 키트,Claim Reward - Core Kit,领取奖励 - 核心套件,Récupérer la récompense - Kit de noyau,,,
보상을 받지 못했습니다. 인벤토리를 비워주세요,Reward could not be claimed. Please free up inventory space.,未能领取奖励。请清空背包,Récompense non récupérée. Libérez de l'espace dans votre inventaire.,,,
보스,Boss,Boss,Boss,,,
보스 충전키트,Boss Charge Kit,Boss充能套件,Kit de recharge de boss,,,
보유 수량 없음,None Owned,无持有数量,Aucune quantité possédée,,,
보유 중,Owned,持有中,En possession,,,
보유 충전 키트,Owned Charge Kits,持有充能套件,Kits de recharge possédés,,,
보유:,Owned:,持有：,Possédé :,O,,
보유한 충전키트가 없습니다.,No Charge Kits Owned.,没有持有的充能套件。,Vous ne possédez aucun kit de recharge.,,,
보통,Normal,普通,Normal,,,
부활 체력,Revive HP,复活体力,PV à la résurrection,O,,
분할,Split,分割,Diviser,O,,
사거리,Range,射程,Portée,,,
사막,Desert,沙漠,Désert,,,
사용,Use,使用,Utiliser,O,,
사용 가능,Available,可使用,Disponible,O,,
사용 불가,Unavailable,不可使用,Indisponible,,,
사용 효과,Use effect,使用效果,Effet,,,
상자,Chest,箱子,Coffre,O,,
상자 파밍에서 획득,Obtained from Chests,从箱子掠夺获得,Obtenu dans les coffres,,,
생체 분리기 / 에너지 변환기,Biomass Separator / Energy Converter,生体分离器 / 能量转换器,Séparateur biologique / Convertisseur d'énergie,,,
"생체 분리기, 에너지 변환기 설비를 해금했습니다.",Biomass Separator and Energy Converter unlocked.,已解锁生体分离器、能量转换器设施。,Le séparateur biologique et le convertisseur d'énergie ont été débloqués.,,,
선체 보강재,Hull Reinforcement,船体加固材料,Renfort de coque,,,
선택된 키트,Selected Kit,已选套件,Kit sélectionné,,,
설비,Facility,设施,Installation,,,
설원,Snowfield,雪原,Toundra,,,
설치,Build,安装,Installer,,,
성공 확률,Success Rate,成功概率,Taux de réussite,,,
성공 확률:,Success Rate:,成功概率：,Taux de réussite :,O,,
수량,Quantity,数量,Quantité,,,
수량 없음,None,无数量,Aucune quantité,,,
수령 완료,Claimed,已领取,Récompense récupérée,,,
스킬 게이지,Skill Gauge,技能槽,Jauge de compétence,,,
스태미나,Stamina,体力值,Endurance,O,,
스탯 공개,Reveal Stats,属性公开,Statistiques révélées,,,
스탯 잠김 - {0}마리 처치 시 활성화 ({1} / {0}),Stats Locked - Unlocks after {0} kills ({1} / {0}),属性锁定 - 击杀{0}只时激活（{1} / {0}）,Statistiques verrouillées - Déverrouillées après avoir éliminé {0} ennemis ({1}/{0}),O,,
시간,Time,时间,Temps,,,
시간 감소율,Time Drain Rate,时间减少率,Taux de diminution du temps,,,
시간에너지 전송,Time Energy Transmission,时间能量传输,Transfert d'énergie temporelle,,,
시간에너지 전송 100% — 탈출(엔딩) 조건을 달성했습니다!,Time Energy Transmission 100% — Escape (Ending) condition achieved!,时间能量传输100% — 已达成逃脱（结局）条件！,Transfert d'énergie temporelle à 100 % — Condition d'évasion (fin) remplie !,,,
시간에너지 합성기,Time Energy Synthesizer,时间能量合成器,Synthétiseur d'énergie temporelle,O,,
시간에너지 합성기 설비를 해금했습니다. 이제 충전 키트를 직접 제작할 수 있습니다.,Time Energy Synthesizer facility unlocked. You can now craft charge kits directly.,已解锁时间能量合成器设施。现在可以直接制作充能套件了。,Synthétiseur d'énergie temporelle débloqué. Vous pouvez désormais fabriquer directement des kits de recharge.,O,,
시간이 {0}초 남았습니다!,{0} seconds remaining!,剩余时间{0}秒！,Il reste {0} s !,,,
시간이 이미 가득 찼습니다.,Time is already full.,时间已满。,Le temps est déjà au maximum.,O,,
시야,Vision,视野,Champ de vision,,,
아무 곳이나 클릭하여 계속,Click anywhere to continue,点击任意处继续,Cliquez n'importe où pour continuer,O,,
아이템,Item,物品,Objet,,,
아이템 선택,Select Item,选择物品,Sélection d'objet,,,
아이템을 선택하세요,Select an item,请选择物品,Sélectionnez un objet,,,
아이템을 여기로 드래그하여 가방에 보관 가능,Drag items here to store in Bag,将物品拖至此处可存入背包,Faites glisser un objet ici pour le ranger dans le sac.,,,
아이템이 창고로 이동했습니다,Item moved to storage,物品已移至仓库,L'objet a été déplacé vers l'entrepôt,,,
알 수 없는 아이템,Unknown Item,未知物品,Objet inconnu,,,
없음,None,无,Aucun,O,,
에 보관 가능,,可存入,Peut être stocké dans,,,
연료,Fuel,燃料,Carburant,,,
연료 넣기,Insert Fuel,添加燃料,Ajouter du carburant,O,,
연료 부족,Fuel Shortage,燃料不足,Carburant insuffisant,,,
연료 없음 -,No Fuel -,无燃料 -,Aucun carburant -,O,,
연료만 넣을 수 있습니다,Only fuel can be inserted,只能添加燃料,Seul le carburant peut être inséré,,,
연소 중 -,Burning -,燃烧中 -,En combustion -,O,,
열린 상자,Opened Chest,已开启箱子,Coffre ouvert,,,
열어보기,Open,打开查看,Ouvrir,,,
영상,Video,视频,Vidéo,,,
예상 상승률,Expected Gain Rate,预计上升率,Taux d'augmentation estimé,,,
예상 전송률,Expected Transmission Rate,预计传输率,Taux de transfert estimé,,,
완료!,Done!,完成！,Terminé !,,,
요구하는 재료와 다릅니다,Does not match required materials,与所需材料不符,Les matériaux requis ne correspondent pas,,,
용량,Capacity,容量,Capacité,O,,
용암,Lava,熔岩,Lave,,,
용해로,Smelter,熔炉,Four de fusion,,,
용해로 설비를 해금했습니다.,Smelter facility unlocked.,已解锁熔炉设施。,Four de fusion débloqué.,,,
우주선 동력 안정기를 확보했습니다.,Spaceship power stabilizer secured.,已获得飞船动力稳定器。,Stabilisateur d'énergie du vaisseau obtenu.,,,
우주선 선체 보강재를 확보했습니다.,Spaceship hull reinforcement secured.,已获得飞船船体加固材料。,Renfort de coque du vaisseau obtenu.,,,
우주선 엔진,Spaceship Engine,飞船引擎,Moteur du vaisseau,,,
우주선 엔진을 확보했습니다.,Spaceship engine secured.,已获得飞船引擎。,Moteur du vaisseau obtenu.,,,
우주선을 수리하면 설치 개수를 늘릴 수 있습니다,Repairing the spaceship will increase the installation limit,修复飞船可增加安装数量,Réparer le vaisseau augmente la limite de construction.,,,
우클릭 / 더블클릭으로 회수,Right-click / Double-click to retrieve,右键 / 双击回收,Clic droit / Double-clic pour récupérer,,,
우클릭 대쉬,Right-click Dash,右键冲刺,Ruée avec clic droit,O,,
원재료,Raw Material,原材料,Matière première,,,
위험,Danger,危险,Danger,,,
위험도,Threat Level,危险度,Niveau de danger,,,
"이 항목의 가이드 설명이 여기에 들어갑니다. 핵심은 시간 자원 관리이며, 단계별 안내와 이미지, 주의사항이 본문에 배치됩니다.","Guide description for this entry goes here. The key is time resource management, with step-by-step instructions, images, and notes placed in the body.",此条目的说明将显示在这里。核心是时间资源管理，分阶段指导、图片和注意事项将排列在正文中。,"La description de ce guide s'affiche ici. Elle explique la gestion du temps, avec des instructions étape par étape, des images et des conseils.",,,
이동,Move,移动,Déplacement,O,,
이동속도,Movement Speed,移动速度,Vitesse de déplacement,,,
이미 다른 레시피에 재료가 들어있습니다. 재료를 회수한 뒤 바꿔주세요.,Materials are already loaded in another recipe. Please retrieve them before switching.,其他配方中已有材料。请回收材料后再更换。,Les matériaux sont déjà utilisés dans une autre recette. Récupérez-les avant de changer.,,,
인벤토리가 가득 차 창고로 이동했습니다,Inventory full — items moved to storage,背包已满，物品已移至仓库,Inventaire plein. Déplacé vers l'entrepôt.,,,
일반,Normal,普通,Normal,,,
일반 상한 {0}% 도달 · 보스 키트 필요,Normal cap {0}% reached · Boss kit required,已达普通上限{0}% · 需要Boss套件,Limite normale de {0} % atteinte · Kit de boss requis,,,
일반 충전키트,Normal Charge Kit,普通充能套件,Kit de recharge standard,O,,
자세히 보기,View Details,查看详情,Voir les détails,,,
자연,Nature,自然,Nature,,,
잠금 해제,Unlock,解锁,Déverrouiller,,,
잠긴 상자,Locked Chest,锁定箱子,Coffre verrouillé,,,
잠김,Locked,锁定,Verrouillé,,,
재료 넣기,Insert Materials,放入材料,Insérer les matériaux,O,,
재료 부족,Insufficient Materials,材料不足,Matériaux insuffisants,,,
재료 불필요,No Materials Required,无需材料,Aucun matériau requis,,,
재료를 누르면 출처 보기,Click materials to view source,点击材料查看来源,Cliquez sur un matériau pour voir son origine,,,
잭팟 ON,Jackpot ON,大奖 ON,Jackpot ACTIVÉ,,,
잭팟 활성화! 제작마다 10% 확률로 2배 생산,Jackpot activated! 10% chance to double output per craft,大奖激活！每次制作有10%概率双倍产出,Jackpot activé ! Chaque fabrication a 10 % de chances de produire le double.,,,
저장고 / 귀환석 Lv.1,Storage / Return Stone Lv.1,储存库 / 回城石 Lv.1,Entrepôt / Pierre de retour Niv. 1,,,
저장고 해금 + 귀환석 Lv.1(쿨타임 15분)을 획득했습니다.,Storage unlocked + Return Stone Lv.1 (15 min cooldown) acquired.,已解锁储存库 + 获得回城石 Lv.1（冷却时间15分钟）。,Entrepôt débloqué + Pierre de retour Niv. 1 obtenue (temps de recharge : 15 min).,,,
전 레시피 마스터 보상,All Recipe Master Reward,全配方精通奖励,Récompense de maîtrise de toutes les recettes,,,
전송,Transmit,传输,Transférer,,,
전송 불가,Cannot Transmit,无法传输,Transfert impossible,,,
전송 시 {0}% (+{1}),Transmit: {0}% (+{1}),传输时 {0}%（+{1}）,Transfert : {0} % (+{1}),O,,
전송 시 +{0}% 상승,+{0}% increase on transmit,传输时 +{0}% 上升,+ {0} % lors du transfert,,,
전송 시스템 대기 중,Transmission System Standby,传输系统等待中,Système de transfert en attente,,,
전송 완료,Transmission Complete,传输完成,Transfert terminé,,,
전송 제어,Transmission Control,传输控制,Contrôle du transfert,,,
전송률 100% · 더 올릴 수 없음,100% · Cannot increase further,传输率100% · 无法再提升,Taux de transfert à 100 % · Maximum atteint,,,
전송률 100% 달성 — 엔딩 조건 충족,Transmission 100% — Ending condition met,传输率100%达成 — 结局条件满足,Taux de transfert de 100 % atteint — Condition de fin remplie,,,
전송률 상승 없음,No transmission gain,传输率无上升,Aucune augmentation du taux de transfert,,,
전술 소모품,Tactical Consumable,战术消耗品,Consommables tactiques,,,
전체,All,全部,Tout,,,
전체 능력치,All Stats,全部属性,Statistiques globales,,,
정보,Info,信息,Informations,,,
정지!,Stop!,停止！,Arrêt !,O,,
제작,Craft,制作,Fabrication,,,
제작 중,Crafting,制作中,Fabrication en cours,,,
제출,Submit,提交,Soumettre,,,
좌클릭,Left-click,左键点击,Clic gauche,,,
주의,Caution,注意,Attention,,,
즉시 {0} {1} 회복,Instantly recover {0} {1},立即恢复{0} {1},Restaure immédiatement {1} {0},O,,
즉시 열기,Open Instantly,立即打开,Ouvrir immédiatement,,,
지금은 강화할 수 없습니다,Cannot upgrade right now,现在无法强化,Impossible d'améliorer pour le moment,,,
창고,Storage,仓库,Entrepôt,,,
창고 |,Storage,仓库 |,Entrepôt |,,,
창고 출력 포트,Storage Output Port,仓库输出端口,Port de sortie de l'entrepôt,,,
창고 출력 포트 건설 수 +1 + 귀환석 Lv.3(쿨타임 5분)로 강화되었습니다.,Storage Output Port count +1 + Return Stone Lv.3 (5 min cooldown) upgraded.,仓库输出端口建设数 +1 + 已强化为回城石 Lv.3（冷却时间5分钟）。,Nombre de ports de sortie +1 + Amélioré en Pierre de retour Niv. 3 (temps de recharge : 5 min).,,,
창고 출력 포트 건설 수 +2 + 앰플 꾸러미(대량) + 코어 키트 V x5를 받았습니다.,Storage Output Port count +2 + Ampoule Bundle (large) + Core Kit V x5 received.,获得仓库输出端口建设数 +2 + 安瓿包（大量）+ 核心套件 V x5。,Nombre de ports de sortie +2 + Lot d'ampoules (grand) + 5 × Core Kit V obtenus.,,,
창고 출력 포트 건설 수가 3 늘어났습니다.,Storage Output Port count increased by 3.,仓库输出端口建设数增加了3。,Nombre de ports de sortie augmenté de 3.,,,
창고 출력 포트 설비를 해금했습니다.,Storage Output Port facility unlocked.,已解锁仓库输出端口设施。,Port de sortie de l'entrepôt débloqué.,,,
창고:,Storage:,仓库：,Entrepôt :,,,
창고에 재고 없음,No stock in storage,仓库无库存,Aucun stock dans l'entrepôt,,,
창고포트 상한 +1 / 귀환석 Lv.3,Storage Port cap +1 / Return Stone Lv.3,仓库端口上限 +1 / 回城石 Lv.3,Limite des ports d'entrepôt +1 / Pierre de retour Niv. 3,,,
창고포트 상한 +2 / 앰플 꾸러미 / 코어 키트 V,Storage Port cap +2 / Ampoule Bundle / Core Kit V,仓库端口上限 +2 / 安瓿包 / 核心套件 V,Limite des ports d'entrepôt +2 / Lot d'ampoules / Core Kit V,,,
창고포트 상한 +3,Storage Port cap +3,仓库端口上限 +3,Limite des ports d'entrepôt +3,,,
체력,HP,体力,PV,,,
초,sec,秒,s,O,,
최대 시간,Max Time,最大时间,Temps maximal,O,,
추출까지: {0}초,Extraction in: {0}s,距提取：{0}秒,Extraction dans : {0} s,,,
출처 정보가 없습니다,No source information,无来源信息,Aucune information sur la provenance,,,
치명,Critical,致命,Coup critique,,,
캐치 성공,Catch!,捕捉成功,Capture réussie,,,
코어 합성기,Core Synthesizer,核心合成器,Synthétiseur de noyaux,,,
코어 합성기 설비를 해금했습니다.,Core Synthesizer facility unlocked.,已解锁核心合成器设施。,Synthétiseur de noyaux débloqué.,,,
퀵슬롯 등록,Quick Slot,注册快捷栏,Ajouter à la barre rapide,O,,
퀵슬롯을 사용할 수 없습니다.,Quick slot unavailable.,无法使用快捷栏。,Impossible d'utiliser la barre rapide.,,,
클릭,Click,点击,Cliquer,,,
클릭하여 계속,Click to continue,点击继续,Cliquez pour continuer,,,
키트,Kit,套件,Kit,,,
키트 부족,Insufficient Kits,套件不足,Kits insuffisants,O,,
키트를 선택하세요,Select a kit,请选择套件,Sélectionnez un kit,O,,
튜토리얼,Tutorial,教程,Tutoriel,,,
특수,Special,特殊,Spécial,,,
표시할 레시피가 없습니다.,No recipes to display.,没有可显示的配方。,Aucune recette à afficher.,,,
표시할 아이템이 없습니다.,No items to display.,没有可显示的物品。,Aucun objet à afficher.,,,
필요:,Required:,需要：,Requis :,O,,
필요: {0} {1} 충전키트,Required: {0} {1} Charge Kit,需要：{0} {1} 充能套件,Requis : {0} kits de recharge {1},,,
항목 선택,Select Entry,选择项目,Sélectionner un élément,,,
해제 완료,Unlock Complete,解除完成,Déverrouillage terminé,,,
해제 중,Unlocking,解除中,Déverrouillage en cours,,,
핵심 강화,Core Upgrade,核心强化,Amélioration du noyau,O,,
현재 구간 {0} / 일반 상한 {1}% / 목표 {2}%,Region {0} / Normal cap {1}% / Target {2}%,当前区间{0} / 普通上限{1}% / 目标{2}%,Zone actuelle : {0} / Limite normale : {1} % / Objectif : {2} %,,,
현재 전송률,Current Transmission Rate,当前传输率,Taux de transfert actuel,,,
현재 출력,Current Output,当前输出,Sortie actuelle,,,
확률 공개,Reveal Drop Rates,概率公开,Probabilités révélées,,,
확률 잠김 - {0}마리 처치 시 활성화 ({1} / {0}),Drop Rates Locked - Unlocks after {0} kills ({1} / {0}),概率锁定 - 击杀{0}只时激活（{1} / {0}）,Probabilités verrouillées - Déverrouillées après avoir éliminé {0} ennemis ({1}/{0}),,,
획득 방법,How to Obtain,获得方式,Méthode d'obtention,,,
획득 완료,Obtained,获得完成,Obtenu,,,
효과,Effect,效果,Effet,,,
흡수율,Lifesteal,吸收率,Taux d'absorption,O,,
스위치를 활성화하라,Activate the switch,激活开关,Activez l'interrupteur,,,
거미 독액,Spider Venom,蜘蛛毒液,Venin d'araignée,O,,
점액,Slime,黏液,Gelée,O,,
눈알 조각,Eye Fragment,眼球碎片,Fragment d'œil,O,,
늑대 송곳니,Wolf Fang,狼牙,Croc de loup,O,,
앰플 젤,Ampoule Gel,安瓿凝胶,Gel d'ampoule,O,,
야수 활성액,Beast Activator,野兽活性液,Fluide d'activation bestiale,,,
생체 배양액,Bio Culture Fluid,生体培养液,Milieu de culture biologique,O,,
고철 덩어리,Scrap Metal,废铁块,Ferraille,,,
구리선 다발,Copper Wire Bundle,铜线束,Faisceau de fils de cuivre,,,
낡은 회로판,Old Circuit Board,旧电路板,Circuit imprimé usé,,,
유리 렌즈,Glass Lens,玻璃镜片,Lentille en verre,,,
에너지 코어,Energy Core,能量核心,Noyau d'énergie,,,
금속 주괴,Metal Ingot,金属锭,Lingot métallique,,,
전도 부품,Conductive Part,导电零件,Composant conducteur,,,
광학 렌즈,Optical Lens,光学镜片,Lentille optique,,,
초전도 셀,Superconductor Cell,超导电池,Cellule supraconductrice,,,
부식액,Corrosive Fluid,腐蚀液,Liquide corrosif,O,,
질긴 섬유,Tough Fiber,坚韧纤维,Fibre résistante,,,
화학 촉매,Chemical Catalyst,化学催化剂,Catalyseur chimique,O,,
나뭇가지,Branch,树枝,Branche,O,,
거미 독 배양체,Spider Venom Culture,蜘蛛毒培养体,Culture de venin d'araignée,,,
점액 배양체,Slime Culture,黏液培养体,Culture de gelée,,,
눈알 배양체,Eye Culture,眼球培养体,Culture d'œil,,,
부식액 배양체,Corrosive Culture,腐蚀液培养体,Culture de liquide corrosif,,,
초급 회복 앰플,Basic Recovery Ampoule,初级恢复安瓿,Ampoule de soin mineure,O,,
중급 회복 앰플,Intermediate Recovery Ampoule,中级恢复安瓿,Ampoule de soin intermédiaire,O,,
고급 회복 앰플,Advanced Recovery Ampoule,高级恢复安瓿,Ampoule de soin majeure,O,,
공격력 앰플,Attack Ampoule,攻击力安瓿,Ampoule d'attaque,O,,
방어력 앰플,Defense Ampoule,防御力安瓿,Ampoule de défense,O,,
스태미나 앰플,Stamina Ampoule,体力值安瓿,Ampoule d'endurance,O,,
코어 키트 I,Core Kit I,核心套件 I,Core Kit I,O,,
코어 키트 II,Core Kit II,核心套件 II,Core Kit II,,,
코어 키트 III,Core Kit III,核心套件 III,Core Kit III,,,
코어 키트 IV,Core Kit IV,核心套件 IV,Core Kit IV,,,
코어 키트 V,Core Kit V,核心套件 V,Core Kit V,,,
코어 결정,Core Crystal,核心结晶,Cristal de noyau,,,
자연 시간 에너지 조각,Nature Time Energy Shard,自然时间能量碎片,Fragment d'énergie temporelle - Nature,,,
설원 시간 에너지 조각,Tundra Time Energy Shard,雪原时间能量碎片,Fragment d'énergie temporelle - Toundra,,,
사막 시간 에너지 조각,Desert Time Energy Shard,沙漠时间能量碎片,Fragment d'énergie temporelle - Désert,,,
용암 시간 에너지 조각,Lava Time Energy Shard,熔岩时间能量碎片,Fragment d'énergie temporelle - Lave,,,
빈 시간 키트,Empty Time Kit,空时间套件,Kit temporel vide,,,
자연 충전 키트,Nature Charge Kit,自然充能套件,Kit de recharge - Nature,,,
설원 충전 키트,Tundra Charge Kit,雪原充能套件,Kit de recharge - Toundra,,,
사막 충전 키트,Desert Charge Kit,沙漠充能套件,Kit de recharge - Désert,,,
용암 충전 키트,Lava Charge Kit,熔岩充能套件,Kit de recharge - Lave,,,
자연 특수 충전 키트,Nature Special Charge Kit,自然特殊充能套件,Kit de recharge spécial - Nature,,,
설원 특수 충전 키트,Tundra Special Charge Kit,雪原特殊充能套件,Kit de recharge spécial - Toundra,,,
사막 특수 충전 키트,Desert Special Charge Kit,沙漠特殊充能套件,Kit de recharge spécial - Désert,,,
용암 특수 충전 키트,Lava Special Charge Kit,熔岩特殊充能套件,Kit de recharge spécial - Lave,,,
녹빛 시간핵,Verdant Time Core,翠光时间核,Noyau temporel verdoyant,,,
서리 시간핵,Frost Time Core,霜冻时间核,Noyau temporel givré,,,
모래 시간핵,Sand Time Core,沙土时间核,Noyau temporel de sable,,,
잿불 시간핵,Ember Time Core,余烬时间核,Noyau temporel de braise,,,
생체 추출기,Bio Extractor,生体提取器,Extracteur biologique,O,,
생체 배양기,Bio Cultivator,生体培养器,Incubateur biologique,O,,
시간에너지 합성기,Time Energy Synthesizer,时间能量合成器,Synthétiseur d'énergie temporelle,,,
생체 분리기,Bio Separator,生体分离器,Séparateur biologique,,,
에너지 변환기,Energy Converter,能量转换器,Convertisseur d'énergie,,,
용해로,Smelter,熔炉,Four de fusion,,,
코어 합성기,Core Synthesizer,核心合成器,Synthétiseur de noyaux,,,
저장고,Storage,储存库,Entrepôt,,,
창고 출력 포트,Warehouse Output Port,仓库输出端口,Port de sortie de l'entrepôt,,,
이제 대쉬를 사용할 수 있습니다!,You can now use Dash!,现在可以使用冲刺了！,Vous pouvez désormais utiliser la ruée !,O,,
비어있음,Empty,空,Vide,,,
키 입력...,Press a key...,按键输入...,Appuyez sur une touche...,,,
변경하고자 하는 키를 눌러서 선택해 주세요.,Press a key to select.,请按下您想更改的键进行选择。,Appuyez sur la touche que vous souhaitez attribuer.,,,
변경하고자 하는 키를 입력해 주세요.,Enter the key you want to change.,请输入您想更改的键。,Entrez la nouvelle touche.,,,
설정 취소,Cancel Settings,取消设置,Annuler les modifications,,,
저장하지 않은 변경 사항이 있습니다.,You have unsaved changes.,有未保存的更改。,Des modifications non enregistrées existent.,,,
저장하시겠습니까?,Do you want to save?,是否保存？,Voulez-vous enregistrer ?,,,
예,Yes,是,Oui,,,
아니오,No,否,Non,,,
아무 곳이나 클릭하여 계속,Click anywhere to continue,点击任意处继续,Cliquez n'importe où pour continuer,,,
영상 준비 중,Loading video,视频准备中,Vidéo en préparation,,,
확인,Confirm,确认,Confirmer,,,
"를 누르거나 좌우 화살표를 눌러 페이지를 넘길 수 있으며, 모두 읽은 후에는 창을 닫을 수 있습니다.",Use these keys or the left/right arrows to turn pages. You can close the window after reading everything.,按下或左右方向键可翻页，全部阅读后可关闭窗口。,Utilisez ces touches ou les flèches gauche/droite pour tourner les pages. Vous pourrez fermer la fenêtre après avoir tout lu.,,,
화면을 클릭하여 시작,Click to Start,点击屏幕开始,Cliquez sur l'écran pour commencer,,,
