MonsterType,TableID,DropType,ItemID,ItemName,Probability(%),Description
Shooter_Pistol,SP_T3,Guaranteed,6106,체결 볼트,25,부품을 단단히 고정하는 볼트
Shooter_Pistol,SP_T3,Bonus,4104,9mm,75,권총용 탄약
Shooter_Pistol,SP_T3,Bonus,2103,Lv.1 방탄모,45,기본 방탄 헬멧
Shooter_Pistol,SP_T3,Bonus,3103,Lv.1 방탄복,40,기본 방탄복
Shooter_Pistol,SP_T3,Bonus,5116,금 반지,25,판매 가치가 있는 금 반지
Shooter_Pistol,SP_T3,Bonus,5109,금화,12,높은 판매 가치를 가진 금화
Shooter_Pistol,SP_T4,Weapon,1105,PM,35,권총
Shooter_Pistol,SP_T4,Guaranteed,6122,금속 프레임,30,구조를 지탱하는 금속 프레임
Shooter_Pistol,SP_T4,Guaranteed,6120,보강 철재,25,강도가 강화된 철재
Shooter_Pistol,SP_T4,Guaranteed,6118,전력 케이블,25,전력을 전달하는 케이블
Shooter_Pistol,SP_T4,Guaranteed,5114,시가 세트,20,판매 가치가 있는 시가 세트
Shooter_Pistol,SP_T4,Bonus,4104,9mm,90,권총용 탄약
Shooter_Pistol,SP_T4,Bonus,6123,전자 모듈,35,전자 장치에 사용되는 부품
Shooter_Pistol,SP_T4,Bonus,6124,전력 셀,32,전력을 저장하는 소형 셀
Shooter_Pistol,SP_T4,Bonus,2102,Lv.2 방탄모,20,중급 방탄 헬멧
Shooter_Pistol,SP_T4,Bonus,5109,금화,12,높은 판매 가치를 가진 금화
Shooter_Pistol,SP_T5,Weapon,1105,PM,30,권총
Shooter_Pistol,SP_T5,Guaranteed,6102,접합 접착제,25,재료를 서로 붙이는 접착제
Shooter_Pistol,SP_T5,Guaranteed,6104,고정 핀,25,부품 위치를 고정하는 작은 핀
Shooter_Pistol,SP_T5,Guaranteed,6124,전력 셀,25,전력을 저장하는 소형 셀
Shooter_Pistol,SP_T5,Guaranteed,6123,전자 모듈,25,전자 장치에 사용되는 부품
Shooter_Pistol,SP_T5,Bonus,4104,9mm,92,권총용 탄약
Shooter_Pistol,SP_T5,Bonus,2101,Lv.3 방탄모,8,고급 방탄 헬멧
Shooter_Pistol,SP_T5,Bonus,5109,금화,12,높은 판매 가치를 가진 금화
Shooter_Pistol,SP_T5,Bonus,5114,시가 세트,18,판매 가치가 있는 시가 세트
Shooter_Pistol,SP_T5,Bonus,6118,전력 케이블,30,전력을 전달하는 케이블
Shooter_Pistol,SP_T5,Bonus,6120,보강 철재,25,강도가 강화된 철재
Shooter_Pistol,SP_T5,Bonus,5118,만년필,40,판매 가치가 있는 만년필
Shooter_Shotgun,SS_T1,Weapon,1104,TOZ-66,70,샷건
Shooter_Shotgun,SS_T1,Guaranteed,6111,건축용 목재,35,기본적인 건축용 목재
Shooter_Shotgun,SS_T1,Guaranteed,6113,경량 금속판,25,얇지만 단단한 금속판
Shooter_Shotgun,SS_T1,Guaranteed,6106,체결 볼트,25,부품을 단단히 고정하는 볼트
Shooter_Shotgun,SS_T1,Guaranteed,6110,산업용 고무,15,충격을 흡수하는 고무 자원
Shooter_Shotgun,SS_T1,Bonus,4103,12 Gauge,90,샷건용 탄약
Shooter_Shotgun,SS_T1,Bonus,4104,9mm,40,권총용 탄약
Shooter_Shotgun,SS_T1,Bonus,2103,Lv.1 방탄모,35,기본 방탄 헬멧
Shooter_Shotgun,SS_T1,Bonus,6103,윤활 오일,45,기계 마찰을 줄여주는 오일
Shooter_Shotgun,SS_T1,Bonus,5117,향수,30,판매 가치가 있는 향수
Shooter_Shotgun,SS_T2,Weapon,1104,TOZ-66,65,샷건
Shooter_Shotgun,SS_T2,Guaranteed,6111,건축용 목재,30,기본적인 건축용 목재
Shooter_Shotgun,SS_T2,Guaranteed,6112,보강 목판,20,가공된 건축용 목판
Shooter_Shotgun,SS_T2,Guaranteed,6106,체결 볼트,25,부품을 단단히 고정하는 볼트
Shooter_Shotgun,SS_T2,Guaranteed,6110,산업용 고무,25,충격을 흡수하는 고무 자원
Shooter_Shotgun,SS_T2,Bonus,4103,12 Gauge,85,샷건용 탄약
Shooter_Shotgun,SS_T2,Bonus,6113,경량 금속판,40,얇지만 단단한 금속판
Shooter_Shotgun,SS_T2,Bonus,6109,합성 플라스틱,35,다용도로 사용 가능한 플라스틱
Shooter_Shotgun,SS_T2,Bonus,3103,Lv.1 방탄복,30,기본 방탄복
Shooter_Shotgun,SS_T2,Bonus,5118,만년필,35,판매 가치가 있는 만년필
Shooter_Shotgun,SS_T3,Weapon,1104,TOZ-66,60,샷건
Shooter_Shotgun,SS_T3,Guaranteed,6120,보강 철재,30,강도가 강화된 철재
Shooter_Shotgun,SS_T3,Guaranteed,6109,합성 플라스틱,25,다용도로 사용 가능한 플라스틱
Shooter_Shotgun,SS_T3,Guaranteed,6110,산업용 고무,25,충격을 흡수하는 고무 자원
Shooter_Shotgun,SS_T3,Guaranteed,6113,경량 금속판,20,얇지만 단단한 금속판
Shooter_Shotgun,SS_T3,Bonus,4103,12 Gauge,80,샷건용 탄약
Shooter_Shotgun,SS_T3,Bonus,2102,Lv.2 방탄모,25,중급 방탄 헬멧
Shooter_Shotgun,SS_T3,Bonus,3102,Lv.2 방탄복,22,중급 방탄복
Shooter_Shotgun,SS_T3,Bonus,6122,금속 프레임,35,구조를 지탱하는 금속 프레임
Shooter_Shotgun,SS_T3,Bonus,5109,금화,12,높은 판매 가치를 가진 금화
Shooter_Shotgun,SS_T4,Weapon,1104,TOZ-66,55,샷건
Shooter_Shotgun,SS_T4,Guaranteed,6101,보강 테이프,30,임시 보강에 사용하는 테이프
Shooter_Shotgun,SS_T4,Guaranteed,6106,체결 볼트,25,부품을 단단히 고정하는 볼트
Shooter_Shotgun,SS_T4,Guaranteed,6120,보강 철재,25,강도가 강화된 철재
Shooter_Shotgun,SS_T4,Guaranteed,6118,전력 케이블,20,전력을 전달하는 케이블
Shooter_Shotgun,SS_T4,Bonus,4103,12 Gauge,92,샷건용 탄약
Shooter_Shotgun,SS_T4,Bonus,2102,Lv.2 방탄복,20,중급 방탄복
Shooter_Shotgun,SS_T4,Bonus,5114,시가 세트,18,판매 가치가 있는 시가 세트
Shooter_Shotgun,SS_T4,Bonus,5109,금화,12,높은 판매 가치를 가진 금화
Shooter_Shotgun,SS_T5,Weapon,1104,TOZ-66,50,샷건
Shooter_Shotgun,SS_T5,Guaranteed,6120,보강 철재,30,강도가 강화된 철재
Shooter_Shotgun,SS_T5,Guaranteed,6118,전력 케이블,25,전력을 전달하는 케이블
Shooter_Shotgun,SS_T5,Guaranteed,6124,전력 셀,25,전력을 저장하는 소형 셀
Shooter_Shotgun,SS_T5,Guaranteed,6123,전자 모듈,20,전자 장치에 사용되는 부품
Shooter_Shotgun,SS_T5,Bonus,4103,12 Gauge,92,샷건용 탄약
Shooter_Shotgun,SS_T5,Bonus,2101,Lv.3 방탄복,10,고급 방탄복
Shooter_Shotgun,SS_T5,Bonus,5115,위스키,20,판매 가치가 있는 위스키
Shooter_Shotgun,SS_T5,Bonus,5109,금화,12,높은 판매 가치를 가진 금화
Shooter_Shotgun,SS_T5,Bonus,4101,7.62mm,35,고위력 탄약
Shooter_Rifle,SR_T1,Weapon,1102,AK-47,35,돌격소총
Shooter_Rifle,SR_T1,Weapon,1103,MP7,30,기관단총
Shooter_Rifle,SR_T1,Guaranteed,6106,체결 볼트,30,부품을 단단히 고정하는 볼트
Shooter_Rifle,SR_T1,Guaranteed,6109,합성 플라스틱,25,다용도로 사용 가능한 플라스틱
Shooter_Rifle,SR_T1,Guaranteed,6113,경량 금속판,25,얇지만 단단한 금속판
Shooter_Rifle,SR_T1,Guaranteed,6111,건축용 목재,20,기본적인 건축용 목재
Shooter_Rifle,SR_T1,Bonus,4102,5.45mm,90,돌격소총용 탄약
Shooter_Rifle,SR_T1,Bonus,4104,9mm,45,권총용 탄약
Shooter_Rifle,SR_T1,Bonus,2103,Lv.1 방탄모,35,기본 방탄 헬멧
Shooter_Rifle,SR_T1,Bonus,3103,Lv.1 방탄복,30,기본 방탄복
Shooter_Rifle,SR_T1,Bonus,6122,금속 프레임,35,구조를 지탱하는 금속 프레임
Shooter_Rifle,SR_T1,Bonus,5117,향수,30,판매 가치가 있는 향수
Shooter_Rifle,SR_T2,Weapon,1102,AK-47,35,돌격소총
Shooter_Rifle,SR_T2,Weapon,1103,MP7,25,기관단총
Shooter_Rifle,SR_T2,Guaranteed,6123,전자 모듈,35,전자 장치에 사용되는 부품
Shooter_Rifle,SR_T2,Guaranteed,6124,전력 셀,30,전력을 저장하는 소형 셀
Shooter_Rifle,SR_T2,Guaranteed,6120,보강 철재,20,강도가 강화된 철재
Shooter_Rifle,SR_T2,Guaranteed,6110,산업용 고무,15,충격을 흡수하는 고무 자원
Shooter_Rifle,SR_T2,Bonus,4102,5.45mm,92,돌격소총용 탄약
Shooter_Rifle,SR_T2,Bonus,2102,Lv.2 방탄모,30,중급 방탄 헬멧
Shooter_Rifle,SR_T2,Bonus,3102,Lv.2 방탄복,28,중급 방탄복
Shooter_Rifle,SR_T2,Bonus,5116,금 반지,25,판매 가치가 있는 금 반지
Shooter_Rifle,SR_T2,Bonus,5109,금화,12,높은 판매 가치를 가진 금화
Shooter_Rifle,SR_T2,Bonus,6118,전력 케이블,30,전력을 전달하는 케이블
Shooter_Rifle,SR_T3,Weapon,1102,AK-47,30,돌격소총
Shooter_Rifle,SR_T3,Weapon,1103,MP7,25,기관단총
Shooter_Rifle,SR_T3,Guaranteed,6125,기본 공구 키트,35,기본적인 수리 및 정비 공구
Shooter_Rifle,SR_T3,Guaranteed,6120,보강 철재,25,강도가 강화된 철재
Shooter_Rifle,SR_T3,Guaranteed,6123,전자 모듈,20,전자 장치에 사용되는 부품
Shooter_Rifle,SR_T3,Guaranteed,6124,전력 셀,20,전력을 저장하는 소형 셀
Shooter_Rifle,SR_T3,Bonus,4102,5.45mm,88,돌격소총용 탄약
Shooter_Rifle,SR_T3,Bonus,4101,7.62mm,60,고위력 탄약
Shooter_Rifle,SR_T3,Bonus,2101,Lv.3 방탄모,12,고급 방탄 헬멧
Shooter_Rifle,SR_T3,Bonus,3101,Lv.3 방탄복,10,고급 방탄복
Shooter_Rifle,SR_T3,Bonus,5109,금화,18,높은 판매 가치를 가진 금화
Shooter_Rifle,SR_T3,Bonus,6102,접합 접착제,30,재료를 서로 붙이는 접착제
Shooter_Rifle,SR_T4,Weapon,1102,AK-47,30,돌격소총
Shooter_Rifle,SR_T4,Weapon,1103,MP7,25,기관단총
Shooter_Rifle,SR_T4,Guaranteed,6122,금속 프레임,35,구조를 지탱하는 금속 프레임
Shooter_Rifle,SR_T4,Guaranteed,6120,보강 철재,35,강도가 강화된 철재
Shooter_Rifle,SR_T4,Guaranteed,6118,전력 케이블,30,전력을 전달하는 케이블
Shooter_Rifle,SR_T4,Bonus,4102,5.45mm,95,돌격소총용 탄약
Shooter_Rifle,SR_T4,Bonus,2102,Lv.2 방탄모,20,중급 방탄 헬멧
Shooter_Rifle,SR_T4,Bonus,3102,Lv.2 방탄복,18,중급 방탄복
Shooter_Rifle,SR_T4,Bonus,5114,시가 세트,18,판매 가치가 있는 시가 세트
Shooter_Rifle,SR_T4,Bonus,5109,금화,12,높은 판매 가치를 가진 금화
Shooter_Rifle,SR_T4,Bonus,6124,전력 셀,25,전력을 저장하는 소형 셀
Shooter_Rifle,SR_T5,Weapon,1102,AK-47,35,돌격소총
Shooter_Rifle,SR_T5,Weapon,1103,MP7,20,기관단총
Shooter_Rifle,SR_T5,Guaranteed,6123,전자 모듈,30,전자 장치에 사용되는 부품
Shooter_Rifle,SR_T5,Guaranteed,6124,전력 셀,30,전력을 저장하는 소형 셀
Shooter_Rifle,SR_T5,Guaranteed,6125,기본 공구 키트,20,기본적인 수리 및 정비 공구
Shooter_Rifle,SR_T5,Guaranteed,5115,위스키,20,판매 가치가 있는 위스키
Shooter_Rifle,SR_T5,Bonus,4102,5.45mm,92,돌격소총용 탄약
Shooter_Rifle,SR_T5,Bonus,4101,7.62mm,45,고위력 탄약
Shooter_Rifle,SR_T5,Bonus,2101,Lv.3 방탄모,10,고급 방탄 헬멧
Shooter_Rifle,SR_T5,Bonus,3101,Lv.3 방탄복,8,고급 방탄복
Shooter_Rifle,SR_T5,Bonus,5109,금화,15,높은 판매 가치를 가진 금화
Shooter_Rifle,SR_T5,Bonus,5114,시가 세트,18,판매 가치가 있는 시가 세트
Exploder,E_T1,Guaranteed,6109,합성 플라스틱,40,다용도로 사용 가능한 플라스틱
Exploder,E_T1,Guaranteed,6110,산업용 고무,35,충격을 흡수하는 고무 자원
Exploder,E_T1,Guaranteed,6107,금속 클램프,25,금속 고정용 부품
Exploder,E_T1,Bonus,4104,9mm,65,권총용 탄약
Exploder,E_T1,Bonus,6103,윤활 오일,45,기계 마찰을 줄여주는 오일
Exploder,E_T1,Bonus,5118,만년필,25,판매 가치가 있는 만년필
Exploder,E_T1,Bonus,6102,접합 접착제,30,재료를 서로 붙이는 접착제
Exploder,E_T1,Bonus,6111,건축용 목재,30,기본적인 건축용 목재
Exploder,E_T1,Bonus,6106,체결 볼트,35,부품을 단단히 고정하는 볼트
Exploder,E_T2,Guaranteed,6114,산업용 파이프,35,유체와 공기를 이동시키는 파이프
Exploder,E_T2,Guaranteed,6115,연결 조인트,30,파이프 연결용 부품
Exploder,E_T2,Guaranteed,6113,경량 금속판,35,얇지만 단단한 금속판
Exploder,E_T2,Bonus,4103,12 Gauge,55,샷건용 탄약
Exploder,E_T2,Bonus,4102,5.45mm,45,돌격소총용 탄약
Exploder,E_T2,Bonus,2103,Lv.1 방탄모,22,기본 방탄 헬멧
Exploder,E_T2,Bonus,6106,체결 볼트,30,부품을 단단히 고정하는 볼트
Exploder,E_T2,Bonus,6109,합성 플라스틱,25,다용도로 사용 가능한 플라스틱
Exploder,E_T3,Guaranteed,6116,안전 퓨즈,35,과부하를 방지하는 퓨즈
Exploder,E_T3,Guaranteed,6117,절연 케이블,35,절연 처리가 된 케이블
Exploder,E_T3,Guaranteed,6118,전력 케이블,30,전력을 전달하는 케이블
Exploder,E_T3,Bonus,6124,전력 셀,40,전력을 저장하는 소형 셀
Exploder,E_T3,Bonus,6123,전자 모듈,35,전자 장치에 사용되는 부품
Exploder,E_T3,Bonus,4102,5.45mm,50,돌격소총용 탄약
Exploder,E_T3,Bonus,6120,보강 철재,25,강도가 강화된 철재
Exploder,E_T3,Bonus,6109,합성 플라스틱,25,다용도로 사용 가능한 플라스틱
Exploder,E_T4,Guaranteed,6122,금속 프레임,30,구조를 지탱하는 금속 프레임
Exploder,E_T4,Guaranteed,6120,보강 철재,30,강도가 강화된 철재
Exploder,E_T4,Guaranteed,6119,압력 밸브,40,압력을 조절하는 장치
Exploder,E_T4,Bonus,3103,Lv.1 방탄복,10,기본 방탄복
Exploder,E_T4,Bonus,4101,7.62mm,20,고위력 탄약
Exploder,E_T4,Bonus,5109,금화,8,높은 판매 가치를 가진 금화
Exploder,E_T4,Bonus,2102,Lv.2 방탄복,20,중급 방탄복
Exploder,E_T4,Bonus,6124,전력 셀,25,전력을 저장하는 소형 셀
Exploder,E_T5,Guaranteed,6125,기본 공구 키트,25,기본적인 수리 및 정비 공구
Exploder,E_T5,Guaranteed,6102,접합 접착제,35,재료를 서로 붙이는 접착제
Exploder,E_T5,Guaranteed,6101,보강 테이프,40,임시 보강에 사용하는 테이프
Exploder,E_T5,Bonus,4104,9mm,40,권총용 탄약
Exploder,E_T5,Bonus,5117,향수,10,판매 가치가 있는 향수
Exploder,E_T5,Bonus,6106,체결 볼트,25,부품을 단단히 고정하는 볼트
Exploder,E_T5,Bonus,6104,고정 핀,35,부품 위치를 고정하는 작은 핀
Exploder,E_T5,Bonus,2101,Lv.3 방탄복,10,고급 방탄복
Exploder,E_T5,Bonus,5109,금화,15,높은 판매 가치를 가진 금화
Exploder,E_T5,Bonus,6123,전자 모듈,25,전자 장치에 사용되는 부품
